"propertyid","address","city","state","zipcode","price","bedrooms","bathrooms","squarefeet","datelisted","geometry"
38522914,"1865 BRICKELL AVE APT A1901","Miami","FL","33129",238700,,,1661,,"POINT(-80.196305 25.754149)"
38522910,"1865 BRICKELL AVE APT A2004","Miami","FL","33129",165000,1,1.5,868,,"POINT(-80.196305 25.754149)"
38522921,"15250 SW 25TH TER","Miami","FL","33185",225000,3,2.5,1959,,"POINT(-80.441416 25.743081)"
38522919,"1865 BRICKELL AVE APT A2014","Miami","FL","33129",450000,2,2,1723,,"POINT(-80.196305 25.754149)"
38522918,"3900 BISCAYNE BLVD # S-804","Miami","FL","33137",535300,1,1,780,,"POINT(-80.189633 25.813714)"
38522928,"9380 SW 77TH ST","Miami","FL","33173",,5,3,3002,,"POINT(-80.345999 25.69695)"
38522933,"4131 EL PRADO BLVD","Miami","FL","33133",960000,3,3,2294,"2024-05-08 19:14:49","POINT(-80.259888 25.717785)"
38522936,"1865 BRICKELL AVE APT A2010","Miami","FL","33129",340000,1,1.5,1056,,"POINT(-80.196305 25.754149)"
38522935,"910 NW 134TH PL","Miami","FL","33182",315000,3,2,1747,,"POINT(-80.413489 25.777969)"
38522934,"788 NW 22ND ST","Miami","FL","33127",1000000,,,3349,,"POINT(-80.2052 25.8138)"
38522944,"1865 BRICKELL AVE APT A1906","Miami","FL","33129",350000,,,1064,,"POINT(-80.196305 25.754149)"
38522940,"9817 SW 146TH CT","Miami","FL","33186",,2,2,1167,,"POINT(-80.431199 25.675726)"
38522938,"737 NW 18TH PL","Miami","FL","33125",,,,,,"POINT(-80.225699 25.780204)"
38522948,"1801 NW 7TH ST","Miami","FL","33125",725000,,,3075,,"POINT(-80.224757 25.780151)"
38522960,"808 NW 18TH AVE","Miami","FL","33125",,,,,,"POINT(-80.224719 25.78123)"
38522961,"745 NW 21ST TER","Miami","FL","33127",530000,,,,,"POINT(-80.208381 25.797322)"
38522971,"10229 NW 9TH STREET CIR APT 202","Miami","FL","33172",146000,2,2,1000,,"POINT(-80.362701 25.778198)"
38522977,"1865 BRICKELL AVE APT A1911","Miami","FL","33129",450000,,,1362,,"POINT(-80.196305 25.754149)"
38522981,"9400 SW 80TH ST","Miami","FL","33173",,3,2,3397,,"POINT(-80.346163 25.694503)"
38522986,"16676 SW 85TH LN","Miami","FL","33193",200000,4,3,2159,,"POINT(-80.461909 25.685858)"
38523000,"16660 SW 85TH LN","Miami","FL","33193",110500,3,2.5,2016,,"POINT(-80.461768 25.685864)"
38522996,"11911 SW 79TH TER","Miami","FL","33183",,3,2,3331,,"POINT(-80.384247 25.694371)"
38523004,"9240 SW 76TH TER","Miami","FL","33173",930000,3,2,2436,,"POINT(-80.343561 25.697735)"
38523005,"1050 BRICKELL AVE APT 608","Miami","FL","33131",200000,1,1.5,1066,,"POINT(-80.192195 25.763279)"
38523006,"3083 SW 153RD PATH","Miami","FL","33185",380000,3,2,1710,,"POINT(-80.443627 25.738292)"
38523010,"16612 SW 85TH LN","Miami","FL","33193",255000,3,2.5,2016,,"POINT(-80.46135 25.685878)"
38523011,"1050 BRICKELL AVE APT 2306","Miami","FL","33131",140000,,1,613,,"POINT(-80.192195 25.763279)"
38523015,"3900 BISCAYNE BLVD # S-904","Miami","FL","33137",560800,1,1,780,,"POINT(-80.189633 25.813714)"
38523019,"8800 SW 81ST ST","Miami","FL","33173",584000,3,2,2709,,"POINT(-80.33585 25.69395)"
38523017,"3028 SW 153RD PATH","Miami","FL","33185",195000,2,2,1150,,"POINT(-80.444032 25.739205)"
38523023,"16528 SW 85TH LN","Miami","FL","33193",200000,4,2.5,2078,,"POINT(-80.460596 25.685896)"
38523026,"2903 NW 29TH ST","Miami","FL","33142",105000,4,2,1924,,"POINT(-80.242249 25.802831)"
38523027,"1285 NW 22ND AVE","Miami","FL","33125",54100,2,1,2849,,"POINT(-80.23103 25.785539)"
38523030,"9415 SW 78TH ST","Miami","FL","33173",411000,4,2,1803,,"POINT(-80.346511 25.696668)"
38523034,"1865 BRICKELL AVE APT A1807","Miami","FL","33129",480000,,,1064,,"POINT(-80.196305 25.754149)"
38523031,"1050 BRICKELL AVE APT 408","Miami","FL","33131",152000,1,1.5,1066,,"POINT(-80.192195 25.763279)"
38523039,"2100 NW 13TH ST","Miami","FL","33125",350000,,,,,"POINT(-80.229877 25.784785)"
38523048,"14995 SW 15TH LN","Miami","FL","33194",900000,4,3,4788,,"POINT(-80.438223 25.752517)"
